YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-10,WEEKDAY,11,TRAIN,NS7,2353,1912
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1434,1940
2020-10,WEEKDAY,16,TRAIN,SW4,1033,1457
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,SW4,514,522
2020-10,WEEKDAY,10,TRAIN,CC5,1319,3515
2020-10,WEEKENDS/HOLIDAY,10,TRAIN,CC5,628,1336
2020-10,WEEKDAY,13,TRAIN,CC23,8021,8550
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1230,1328
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,EW33,249,323
2020-10,WEEKDAY,22,TRAIN,EW33,727,547
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,CC21,3436,3430
2020-10,WEEKDAY,14,TRAIN,CC21,7410,7241
2020-10,WEEKDAY,18,TRAIN,EW24/NS1,167094,127122
2020-10,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,37152,36741
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2812,2349
2020-10,WEEKDAY,7,TRAIN,NE10,17150,22540
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1491,1559
2020-10,WEEKDAY,8,TRAIN,EW22,7635,38298
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,CC16,2407,2424
2020-10,WEEKDAY,14,TRAIN,CC16,7851,6211
2020-10,WEEKDAY,10,TRAIN,EW11,11535,14674
2020-10,WEEKENDS/HOLIDAY,10,TRAIN,EW11,4845,5477
2020-10,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,853,1844
2020-10,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2819,8052
2020-10,WEEKDAY,0,TRAIN,EW19,55,242
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,EW19,9,92
2020-10,WEEKDAY,10,TRAIN,CC22/EW21,9976,14774
2020-10,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,4058,4384
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,CC8,1886,1542
2020-10,WEEKDAY,8,TRAIN,CC8,9668,7283
2020-10,WEEKDAY,17,TRAIN,NE7/DT12,30763,22242
2020-10,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,12172,10999
2020-10,WEEKDAY,17,TRAIN,EW33,8929,931
2020-10,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1219,695
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,NS28,420,134
2020-10,WEEKDAY,22,TRAIN,NS28,861,159
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,DT10,10,17
